JD;mag;uncert;band;by;comCode;compStar1;compStar2;charts;comment;transformed;airmass;val;cmag;kmag;starName;obsAffil;mtype;adsRef;digitizer;credit;obsID;fainterThan;obsType;software;obsName;obsCountry
2460112.36914;11.287;0.016;R;VYP;;ENSEMBLE;117;X28721BWF;;0;1.009;Z;;11.317;SN 2023IXF;VVS;STD;;;;1299248004;0;CCD;ASTROPIE RC 2023_16 - USING ASTROPY (PYTHON MODULE);Vuylsteke, Pieter;BE
2460112.370633;12.065;0.033;B;VYP;;ENSEMBLE;117;X28721BWF;;0;1.01;Z;;12.346;SN 2023IXF;VVS;STD;;;;1299248005;0;CCD;ASTROPIE RC 2023_16 - USING ASTROPY (PYTHON MODULE);Vuylsteke, Pieter;BE
2460112.371413;11.674;0.014;V;VYP;;ENSEMBLE;117;X28721BWF;;0;1.01;Z;;11.734;SN 2023IXF;VVS;STD;;;;1299248006;0;CCD;ASTROPIE RC 2023_16 - USING ASTROPY (PYTHON MODULE);Vuylsteke, Pieter;BE
2460112.37214;11.683;0.013;V;VYP;;ENSEMBLE;117;X28721BWF;;0;1.011;Z;;11.743;SN 2023IXF;VVS;STD;;;;1299248007;0;CCD;ASTROPIE RC 2023_16 - USING ASTROPY (PYTHON MODULE);Vuylsteke, Pieter;BE
2460112.37917;11.64;;V;JPRA;;CAL13.855;;X28720CLB;;0;;Z;13.86;;SN 2023IXF;AAM;STD;;;;1299241447;0;CCD;FOTODIFSN 2.18;Prieto Gallego, Jose;ES
2460112.3872;11.547;0.106;V;VOL;;000-BKD-627;000-BKD-630;X28720CR;;1;1.06;Z;9.062;11.141;SN 2023IXF;AAVSO;STD;;;;1299649872;0;DSLR;AIP4WIN;Vollmann, Wolfgang;AT
2460112.38889;11.1;;Vis.;PWMA;;111;123;X28720ELK;;;;Z;;;sn 2023ixf;AAVSO;;;;;1299247910;0;Visual;;Pittendreigh, William Maynard;US
2460112.39236;11.7;;Vis.;WKL;;11.7;;X28720RH;;;;Z;;;SN 2023ixf;BAV;;;;;1299244118;0;Visual;;Wenzel, Klaus;DE
2460112.40266;11.997;0.004;B;TRT;;ENSEMBLE;128;X28720CB;;0;1.093;Z;;13.576;SN 2023IXF;MCSE;STD;;;;1299243255;0;CCD;NOAO/IRAF V2.16.1;Tordai, Tamás;HU
2460112.40486;11.55;;CV;WKL;;;;X28720RH;;0;;Z;11.7;11.9;SN 2023ixf;BAV;STD;;;;1299244119;0;CCD;;Wenzel, Klaus;DE
2460112.404907;11.662;0.003;V;HHU;;ENSEMBLE;117;X28734ALB;;0;1.036;Z;;11.731;SN 2023IXF;VVS;STD;;;;1299243796;0;CCD;ASTROPIE RC2 2.65 - USING ASTROPY (PYTHON MODULE);Hautecler, Hubert;BE
2460112.405607;11.655;0.003;V;HHU;;ENSEMBLE;117;X28734ALB;;0;1.037;Z;;11.735;SN 2023IXF;VVS;STD;;;;1299243797;0;CCD;ASTROPIE RC2 2.65 - USING ASTROPY (PYTHON MODULE);Hautecler, Hubert;BE
2460112.406307;11.646;0.002;V;HHU;;ENSEMBLE;117;X28734ALB;;0;1.037;Z;;11.729;SN 2023IXF;VVS;STD;;;;1299243798;0;CCD;ASTROPIE RC2 2.65 - USING ASTROPY (PYTHON MODULE);Hautecler, Hubert;BE
2460112.407007;11.668;0.002;V;HHU;;ENSEMBLE;117;X28734ALB;;0;1.038;Z;;11.731;SN 2023IXF;VVS;STD;;;;1299243799;0;CCD;ASTROPIE RC2 2.65 - USING ASTROPY (PYTHON MODULE);Hautecler, Hubert;BE
2460112.407707;11.655;0.002;V;HHU;;ENSEMBLE;117;X28734ALB;;0;1.039;Z;;11.735;SN 2023IXF;VVS;STD;;;;1299243800;0;CCD;ASTROPIE RC2 2.65 - USING ASTROPY (PYTHON MODULE);Hautecler, Hubert;BE
2460112.409;11.606;0.004;CV;PYG;;119;;AAVSO X28720XV;SLOOH;0;;Z;11.9;;SN 2023IXF;BAA-VSS;STD;;;;1299244103;0;CCD;AIP4WIN;Poyner, Gary;GB
